fichier;id_lettre;expediteur;date;date_when;destinataire;mots_cles;texte_lettre
03139_XV_75_tei-6397065a691f2-6671315f8682d.xml;cp03139;Lionel Hauser;le 14 juin 1916;19160614;Marcel Proust;['Corpus_Guerre_1914-1918'];"Paris, le 14 Juin 1916
                     .

Mon 
                     Cher 
                     cher 
                  
                  Marcel,

Je viens
                    de recevoir ta lettre du 10 courant meretournant un chèque de
                        
                  40.000 
                  40 000 
               
               
                  Fr.
                  francs
                signé par toi
                    que je ferai encaisser et
                    dont je ferai verser la contrevaleur au Crédit
                            Industriel.

J'ai
                    également retiré de ta lettre ton compte de
                        liquidation chez
                        l'Industriel au 31 
                     Mai 
                     mai 
                  
               qui
                    n'apporte en somme aucunélément nouveau. Quant à la lettre du
                        Crédit
                        Industriel dont tum'avises l'envoi, elle ne
                    se trouvait pas dans l'enveloppe, ce queje
                        regrette. Si elle était intéressante
                    prière de me la faire
                    suivre ; en tous cas je
                    m'abstiens de tout commentaire avant de
                    connaître son
                    contenu.

Suivant
                    ton désir, je te remets ci-joint un chèque de :

Fr. 848,12
                     848,12 francs

représentant le
                    montant dont tu as été crédité dernièrement etque tu pourras
                    faire toucher à ta convenance.

Dans
                    quelques jours j'espère pouvoir te créditer dela bonification
                    te revenant du chef de ton prêt à l'
                  
                     Etat
                     État
                  
               
                    de :7 parts civiles
                        Suez et de
                        ta
               Rente
                        Egyptienne
               .

J'ai lu
                    avec grand interêt le surplus de ta 
                  sus-dite
                  susdite
               
               et suis heureux de voir que,
                    contrairement à la grande majoritédes êtres qui peuplent notre
                    planète, tu estimes que la reconnais-

sance, pour être
                    digne de ce nom, doit se manifester par autrechose que des
                    paroles. Jusque là je suis ton homme, mais 
                  lâ 
                  là 
               oùnos vues commencent à
                    se séparer c'est lorsque tu prétends que lareconnaissance doive
                    nécessairement se manifester aussitôt quepossible après la
                    réalisation du phénomène qui l'a motivée, etque s'il ne se
                    présente nulle occasion d'intervertir les rôles ilfaille
                    absolument la créer.

Après
                    cette entrée en matières il
                    faudrait savoirsi vraiment j'ai fait quelque chose qui me donne
                    des titres à unereconnaissance profonde de ta
                    part.

En ce
                    qui concerne mon invitation à prêter au Trésor
               quelques-unes
                    de tes valeurs, je n'ai rien fait d'autre que cequ'on fait les
                    grands établissements de crédit, c'est-à-dire
                        m'occuper de mes
                    intérêts, puisque le Trésor accorde aux banquiersintermédiaires
                    une certaine bonification sur les valeurs ainsiprêtées. Il se
                    trouve que c'est une opération rémunératrice pourles prêteurs
                    puisque cela augmente leurs revenus, mais nul
                        banquier ne songerait à
                    attendre de ce chef de la reconnaissance dela part de ses
                    clients.

Quant au
                    transfert de ton compte Avances de l'Industriel
                    à la Banque
                        anglaise, cela était la conséquence logique
                    dela démarche que tu m'as autorisé à faire auprès de la
                    directiondu 
                  sus-dit
                  susdit
                établissement, démarche que
                    j'aurais déjà faite il y aplusieurs mois si tu ne m'avais à
                    l'époque prié de m'en abstenirpar crainte qu'elle n'
                  entrainât
                  entraînât
                des suites
                    épouvantables pour ledirecteur de la
                        Succursale de ton quartier.

Je suis
                    ravi de ce que le transfert en question setraduise pour toi par
                    une économie annuelle de quelques milliersde francs, mais en ce
                    qui me concerne, j'ai beau me donner du

mal, je trouve ma
                    démarche assez
               trop naturelle pour
                    qu'elle puisseen elle-même me créer un titre à ta
                    reconnaissance.

Il me
                    semble d'ailleurs que notre vraie raisond'être sur la terre est
                    précisément de chercher à rendre
                    service à nos semblables,
                    et comme je sais que telle est aussi tamanière de voir, je suis
                    certain que tu n'hésiteras pas à merendre service lorsque je
                    serai dans le cas de te demander dele faire et que tu en auras
                    le pouvoir.

Pour
                    m'exprimer en termes bancaires je te dirais qued'après la loi
                    qui devrait régir l'humanité, tout individu
                        devrait chercher
                    constamment à avoir un crédit moral chez sonprochain, ou plutôt
                    chez ses prochains.

La
                    conséquence de ce procédé serait que tout hommefinirait par
                    être indirectement en compte courant avec le restede
                    l'humanité. Si donc tu tiens absolument à solder ce que
                    tuconsidères comme ton débit envers moi et qu'il ne se
                    présentepas une occasion naturelle de le faire, je t'autorise à
                    soulagerta conscience envers quelqu'un d'autre à qui tu puisses
                    rendreservice ; je t'en donnerai décharge et cela ne
                    m'empêchera pasde profiter de la première occasion pour me
                    créer un nouveausolde créditeur dans mon compte chez
                    toi.

Crois-moi, mon cher Marcel, ton
                    bien sincèrementdévoué."
01949_IX_24-664f138d2c963-6671315cc4462.xml;cp01949;Marcel Proust;mardi [le 2 mars 1909];19090302;Robert Montesquiou, de;['pastiche', 'lectures'];"Mardi

Cher Monsieur,

Je vous remercie mille fois de votre lettre. Je suis trop fatigué, en ce moment, pour
               faire de nouveaux pastiches. Et le vôtre n’est même pas commencé. Je sais seulement,
               si je le faisais, que je mettrais en épigraphe une phrase de Saint-Simon sur le Régent : « 
                  un diamand de la grosseur d’une prune de la reine
                        Claude
                  
                        Mémoires complets et authentiques du duc de Saint-Simon
                        Louis de Rouvroy, duc de Saint-Simon
                        Hachette
                        Paris
                        1873-1886
                     
                », si toutefois cette phrase n’a jamais été citée par vous. Car
               un pastiche ne doit jamais rien citer. Et je finis par me demander si, le connaissant
               d’ailleurs par moi-même de Saint-Simon (si je me rappelle bien au moment de l’arrivée
               de Pierre le Grand à
                  Paris) je ne l’ai pas lu aussi dans
               vos œuvres. Surtout ne me répondez pas pour cela ! Je l’y chercherai et
               espère vous le demander de vive voix. Je ne songe d’ailleurs pas, actuellement, à de
               nouveaux pastiches.

Veuillez agréer, cher Monsieur, des nouvelles pensées admiratives toutes
                  fraîches (car je vous ai lu toute la nuit dernière) toujours confirmées, renouvelées, et même assurées. Votre
                  reconnaissant

Marcel Proust.

P.S.: Je ne sais quand paraîtront les pastiches annoncés.
                  Je pense samedi. G… paraît-il les aurait
                     expédiés."
02270_XI_6-6672ced2b3e43.xml;cp02270;Marcel Proust;"[un peu avant la mi-janvier
                  1912]";19120115;Reynaldo Hahn;['genèse', 'méta-épistolaire', 'lansgage et codes'];"Je viens de causer toute la nuit avec toi en te demandant : ""Est-ce que
               joli ? Est-ce que te plaît""  sur le ton
                  ""FrancoisFrançois Tellec! Kimper?""  Mais
               voici : j'ai reçu hier mastin un telegr.télégramme (?) de Guiche Sa 
                  bellemère
                  belle-mère
                (Dsseduchesse de Gramont) ne t'a jamais
               henstendu, il lui a promis de ""tenter 
               
               2
               de lui procurer "" etc. (il ne
                  spécifie aucun jour) . Il me demande de lui
               dire s'il peut t'écrire, si tu n'en seras pas ""froissé"" (?) Dis
                  moiDis-moi ce que je dois lui respondre. Je n'ai aucune
               opinion à émettre. Mais sauf en ceci que ta réponse doit,
                  quelque
               quelle qu'elle soit avoir un air ""non froissé"".
               Car depuis ta réponse si légitime au jeune Louis
                  René
               , toute cette famille depuis les plus vieux descendants de
               
               3la belle
                  Corisande
               , jusqu'aux
               alliés les plus lointains de la laide Corisande

Ne te froisse pas et dis moidis-moi ce que je dois
               répondre au fils d'Agénor.

Je te salue genstiment.

P.S.: ""Mon Dieu, cela n'estpas... l'agneau mystique!""(Jules Lemaître)"
03097_XV_33-637ce63e56269-6671315f16b61.xml;cp03097;Marcel Proust;"le samedi 13 mai
                  1916";19160513;Lionel Hauser;['guerre'];"Samedi 13 
                           Mai
                           mai
                        
                        1916

Mon cher Lionel

Je te remercie de vouloirbien veiller ainsi au grain,et admire en même
               tempsque ta double mentalité denatif d'un pays
                  allié(Portugal) et de 
                  français
                  Français
               
               d'adoption te fasse rechercher avec soin les occasionsd'aider M.
                  Ribot, soit par

la souscription à l'empruntnational (que les 
                  gdes
                  
                  grandes
                banquesconseillèrent, sans lae
                faciliter)soit par le prêt de valeursneutres. Pour arriverà ces
               dernières je te rappellerai, ce qui, je comprendsn'est pas resté gravé encaractères
               flamboyants parmites plus saisissants souvenirs,que j'ai, sur ton
               conseil,

vendu il y a 
                  q. q.
                  quelques
                mois Nord Espagne,
               Saragosse et Hollandais, valeurs que tume cites et que je ne possède plus. Parcontre je possède les Suez et l'
                  
                     Egyptien
                     Égyptien
                  
               
               (et même du Brésilien). Si le prêt
                  n'empêche pas, ou ne rend pas difficile, la vente, j'ysuis très favorable. Mais
               tu sais que l'
                  
                     Egyptien
                     Égyptien
                  
                figure sur ma liste de valeurs dont

la vente doit arriver à rembourser mes dettesau Crédit Industriel
               . Comme sur cette liste,sauf les valeurs précitées et l'Interborough,le Crédit Industriel, 
                  peut'être
                  peut-être
                mou, 
                  peut'être
                  peut-être
               
               contraint, n'a encore rien pu vendre, je nevoudrais remettre mes titres égyptiens au 
                  
                     Mre
                     
                     Ministre
                   desfinances, que si cela ne m'empêche pas de
               lesvendre pour ne plus payer 8 % d'intérêts, sanscompter des « agios »
               assez obscurs et desintérêts « moratoriés » (
                   
                  « 
               
               
                  Dieu qu'en termes galants
                  Molière, Le Misanthrope, 1666

Ces 
                        ces 
                     
                     
                        choses là
                        choses-là
                      sont mises
                  Molière, Le Misanthrope, 1666
                »
                  
                  )
               
               . Neprends pas la
               peine de merépondre à cet égard. Si tume dis de prêter au 
                  
                     Mre
                     
                     Ministre
                   desfinances mes Suez
               et mes
               
                  
                     Egyptiens
                     Égyptiens
                  
                (j'ai aussi du
               Crédit 
                     fr
                     
                     foncier 
                  
                  
                     Egyptien
                     égyptien
                  
               ), je conclurai que le prêt n'empêchepas la vente et je signerai tout ceque tu
               m'enverras à signer.
               
                  Qt
                  
                  Quant
                à la substitution des titres,le 5 % au porteur neserait-il pas
               plus pratique pour

le cas où l'extinction dema dette en demanderait 
                  q. q.
                  quelques
               
               ventes plus tard ? Encoresur ce point ne me répondspas. Si tu as pour
               faireaccepter cette substitutionà intervenir auprès du 
                  
                     Ct
                     
                     Crédit
                  
                  Industriel, tu devrais bienpar la même occasion
               leurconseiller de se contenter
                   
                  ,
               
               après avoir tant gagné

à mes dépens, de 6 % (mais sans mettre encause le 
                  
                     Dr
                     
                     Directeur
                   de l'Agence. Sinon jepréfère payer 8 %). 
                  A
                  À
                l'occasion j'ai>merais que tu me dises si les 
                  Banques
                  banques
               
               comme la 
                  
                     Bque 
                     
                     Banque 
                  
                  
                     Rotshild
                     Rothschild
                  
                et le 
                  
                     Ct
                     
                     Crédit
                  
                  Industriel avertissent leurs clients 
                  qd
                  
                  quand
               
               ils gagnent des lots. J'ai des
                     foncières
               ,
               des communales, un bon de la

Presse, et ne regarde jamais les tirages.Enfin pour terminer mon pharmacien
                meprésentant pour fin courant une noteformidable, tu serais bien gentil de me
               fairedire ce que je suis en mesure de faire toucher chez toi. –
                  . Le mystère du Caucasian
               persiste : le lendemain du jour où j'ai accepté la transaction de Léon il a fait un
               bondde 10 
                  fr.
                  francs
                et n'a plus bougé.

Mille affectionsreconnaissantes de ton"
05359_XXI_507-637df428499ce-66713161030a5.xml;cp05359;Marcel Proust;;;Jean Ajalbert;['prix Goncourt'];"44 rue Hamelin

Mon cher Confrère etMaître,

J’ai été bien sensible àl’aimable mention que vousavez faite de mes
                  livres.En lisant ces lignes
               quiavaient du prix pour moiparce qu’elles venaient de vous,et ensentant
               percer votre

lassitude à la lecturede ces pages qui voussemblent interminables,j’ai
               compris quelleavait été mon erreurd’intituler l’ouvrage :« À la Recherche duTemps
               perdu ». Ce titre,tant qu’il ne sera pasexpliqué par le derniervolume
               (le Temps retrouvé)

perpétue le malentendu entre moi et mes lecteurs, même les plus
               éminents,qui croient à un déroulement de souvenirs, à 
                  quelquechose
                  quelque chose
                d’assez voisindes « Mémoires ». Or ce livre estau contraire tellement « composé » que
                  M.
               
               Francis Jammes m’ayant supplié d’ôter du 
                  1er
                  
                  premier
                volume un épisode de 
                  3
                  trois
                pages

qu’il jugeait révoltant, j’étais sur
               lepoint de le faire, quand je compris quecette « coupure » insignifiante dans ce
               
                  1er
                  
                  premier
                volume, ferait écrouler les tomes 4et 5 qu’il soutenait. Je pourrais fournir mille exemples de cette composition voilée, à 
                  laquelle
                  laquelle
                j’ai tout sacrifié, si ce
               n’était tropparler de moi quand j’ai voulu seulement vousremercier de votre
               bienveillance, du fond du cœur
                   
                  .

Marcel Proust"
01979_IX_54-66dae809eee86.xml;cp01979;Marcel Proust;"[vers mai
                  1909]";;Max Daireaux;['santé', 'mondanités', 'épistolarité', 'genèse', 'déplacements'];"Cher ami

Comme je suis 
                  tr.
                  très
                fatigué en cemoment, il se produit en moice 
                  phénom.
                  phénomène
                bizarre que vouscomprendrez 
                  peut’etre
                  peut-être
                (
                  parceque
                  parce que
               vous êtes très intelligent !)
                   ouvrant
                  . Ouvrant
                distraitement macorrespondance, il m’arrive quelquefois si la
               lettre aroulé de mon lit sans que je la retrouve de ne plus savoirsi j’ai
               rêvé avoir vu tellelettre ou si elle est venue enréalité. Or depuis 
                  q.q.
                  quelques
                joursje vois dans ma pensée unecarte La 
                     Bne
                     Baronne
                   d’Eichtalsera - - - - - L’ai-je rêvé ? Ai-je reçu cette carte ?J'incline pour lerêve mais je n’en
               saisrien, et comme je me rappelle que vous m’avez parlé de cette
               dameje viens très idiotement vous demander :ai-je rêvé. Si j’ai rêvé, aunom du ciel, n’allez pas croire quececi soit une ruse, afin d’être
               invitéaux soirées ou matinées de cettedame. Je me lève à peu près une
               foistous les 
                  2
                  deux
                mois et ne pourrais pas aller chez elle. Mais si par hasard c’était
               uneréalité 
                  dites moi
                  dites-moi
                ce que je dois faire.Cartes ? (où ?) – . Lettre ? – . Bible d’Amiens ?  – .
               Fleurs ? (je supposeque non !) 
                  . – Tout, sauf y aller, étantmalade. – . Et le Figaro ? EtCaillavet ?  – .
               Et Cabourg ? (j’ai bienpeur de ne pouvoir y aller
                  
                  )
               . Cela me fait dubien. Mais partir ! Que deviennent les
                  petitesdames Berthier
                  
                  .

Votre

Marcel Proust"
03872_XVIII_191-639b41b8cf79f-667131607e5f1.xml;cp03872;Jacques-Émile Blanche;le 24 juillet 1919;19190724;Marcel Proust;['prix Goncourt'];"24 
                           
                              JA
                              uillet
                           juillet
                         1919

Mon cher Marcel

Montaigne,
                    s'il lui avai
               t plu de « faire
                    duroman », il n'eût pas dépassé, ni même atteint,
                    dansson analyse, ce qu'à chaque page de votre étonnant livre
               ,vous semez pour la joie
                    et l'épuisement, dès huit heures dumatin, de mon énergie au
                    travail ; des
                idé
               es-tremplinns
               .
                    Vousavez coupé l'herbe sous les pieds de deux générations, et
                    plus,de romanciers, de psychologues, mettons d'écrivains. Ne
                    vousétonnez donc point des articles que les critiques vous
                    réservent,et ont 
                  déja
                  déjà
               , peut-être, publiés
                    ; même ceux qui, comme Vandérem,
                    vous admirent haineusement (j'emploie ce
                    mot dansle sens de passionément) ; vous me demandiez l'autre
                    jourque je vous signalasse des articles sur mon pauvre petit
                        livre
               
               .J'ai, alors, oublié de vous dire que
                    Vandérem
                        appelll
               ait mon genre celui
                    de l'école « ditoutiste », et m'en
                        blâmait
               
                  déja
                  déjà
               , pd
               our le cas
                    d'essais, de critique x.xx. L'
                  Ecole
                  École
                dontnous parlions
                    le m
               ême jour, et sur laquelle règne la
                    beauté,aujourd'hui devenue un souvenir des ans 
                  80
                  quatre-vingt
               , de
                        l'ex
               Mme Swann, a du
                    roman une conception française,que ces hommes croient
                    traditionnelle, classique,
                    nationale, et dont
                        Boylesve a reçu, de l'
                  
                     Academie
                  
                  Académie
               , uneconsécration
                        officielle. Boylesve m'a dit, à
                    propos d'unroman « Les Cloches de 
                     St
                     
                     Saint-
                  
                        Amarain
               
                    », que je lui soumettaiset qu'H. de
                        Régnier m'a pris pour sa collection,
                        chez
               
                  
                     Alb.
                     Albin
                  
                        Michel : « Je n'admets pas un roman qui
                    dépassecertaines proportions et dont le lecteur ne sache, dès
                    lapremière page, ou ne devine, 
                  a
                  à
                
                  peuprès
                  peu près
               , la conclusion ».
                    Etil m'avoua qu'il ne connaissait pas la littérature
                    étrangère.

Russes ou Anglais lui
                    sont, leur sont, je crois,
                        insupportables, ou les
                    rebuteraient s'ils avaient le courage de leslire. « 
                  C'est ainsi que baille
                        d'avance d'ennuiun lettré
                      un lettré à
                        quion parle d'un nouveau ""beau livre""
                  Marcel Proust, À l'ombre des jeunes filles en fleurs, 1919
               
               
                  ….
                  ...
                » page 195 « 
                     à
                     À
                   l'ombre
                     ..
                     ...
                  
                  
               
               
               
                   
                   »

Cette phrase pourrait
                    servir d'épigraphe à vos ouvrages,qui 
                  déja
                  déjà
                se répandent, au
                    travers de l'espace, comme cesgraines apportées par le vent,
                    des granges où les Anglaispendant la guerre, tout autour
                        d'Offranville, entassaientdes fourrages venus
                        d'Australie, du Canada, de
                    Dieusait où encore, et dont la
                        Vicomtesse
                        d'Aultreville (à
                        
                  laquelle
                  laquelle
                est consacré le 
                  vol.
                  volume
                V. de mes
                        cahiers
               ), disait qu'onleur devait « mille
                    fleurettes » qui poussaient dans noschamps cauchois — et contre
                        
                  les
                        quelles
                  lesquelles
                cette prudenteaïeule « prémunissait » sa
                    fille Claudie, car elle les
                        croyait
                        vénéneuses, « un poison pour nos
                    constitutions séquaniennes
                    et gauloises » ai-je entendu dire, moi quivous écris. Claudie,
                    mariée à 
                  quarante cinq
                  quarante-cinq
                ans sonnés,épouse d'un
                        aveugle de la guerre, et fils d'un
                        grandcultivateur descendant du
                        régisseur d'Aultreville, autemps des
                        Montmorency
               , ne
                    mourut point pour avoircueilli de ces fleurettes, comme vous le
                    verrez, mais encouches, comme elle avait voulu donner à sa
                    terre unhéritier qui eût à la fois du sang très-bleu dans sa
                    chair,et du très-vermeil, mais très-normand x.x.x...
                    par« raison d'époque ». Cher ami, je ne veux pas vous
               fatiguer plus
                    longtemps. Je vis avec vos livres et
               y retourne
                    immédiatement.

Votre"
02996_XIV_108-639c89a2755d8-6671315eca7e3.xml;cp02996;Marcel Proust;[vers le 9 septembre 1915] ;19150909;Antoine Bibesco;[];"Cher Antoine

Je te dirai comme
                    les gensdisent bêtement : « Cela
                        m'a fait plaisir de
                    voir votreécriture ».
                    Pourtant la tienne(pas 
                  tt
                  
                  tout
                à 
                  ft
                     
                  
                  fait
                autant que
                    lamienne pourtant) est affreuse.Mais sa vue
                    m'a ravi. C'estun des mystères de
                        l'amitié.
               — .
                    Je ne vaux (parce queje réunis ce qui est rare
                    deux

qualités assez
                    communes laclairvoyance et l'abnégation),que
                    comme entremetteur et commemédecin. Je ne vaux rien
                    commestratège. D'ailleurs ta questionest
                    drôlement posée. Tu medis : « Jusqu'à quand les
                    Russesreculeront-ils ? ». Cela signifieje
                    suppose « Jusqu'à quand lesAllemands
                    avanceront-ils ? ».Cela revient au même, mais

ta forme est
                    inattendue. J'aimerais mieux que tume dises si les Roumains
                        marcheront. — .
                    Si jen'ose m'aventurer pour l'avenir
                    (sauf commetout le monde pour la certitude de la
                    victoirefinale) je tiens à me justifier pour le passé.
                    Quandtu m'as dit que l'expédition de
                        Courlande
               
                    étaitde la part des Allemands une fantaisie
                    excentriqueje t'ai répondu que chez un peuple qui a
                    préparéprécisément ce qu'il ne prévoyait pas
                    (munitions

pour la longueur
                    d'une guerre que seul il croyait courteet il a été le seul à
                    être muni, recul à Lens
                pour
                    nousen priver et s'en servir alors qu'il ne croyait pas
                    reculer,prise des Dardanelles
                pour boucher la Russie qu'il
                    croyaitvaincue etc
                   
                  .
               ) il ne faut pas croire à la fantaisie désordonnée
                    etque l'
                  expédion
                     
                  
                  expédition
                de
                        Courlande était, à longue échéance, soit un
                    étau contre l'armée russe ou à 
                  defaut
                  défaut
                contre
                        Varsovie
               ,soit un pendant aux Dardanelles (or 
                  Bidou qui il y a 
                  15
                  quinze
                jours
                        disait que les
                    choses de Riga étaient une démonstration, afait
                    depuis un admirable article montrant
                    cette symétrie avecles Dardanelles, occlusion de
                    la Russie, imitée de la Guerre deSécession). Si
                        Emmanuel
                    est auprès de toi dis
                   
                  -
               lui
                    toute monaffection
                   
                  .

Tout à toi

P.S.: Mes plus tendres
                    amitiés à Henri Bardac
                   que j'aime infiniment
                      
                     .

P.S.: P.S. Je reçois ta
                  seconde lettre. Tu sais bien que
                  j'aurais été très
                  content de connaître 
                     
                        Mr
                        
                        
                        Monsieur
                     
                     Morand
                  
                  quand tu me l'as demandé, mais rappelle
                      
                     -
                  toi, iln'était libre,
                  partant pour Londres, qu'à uneheure où je
                  craignais d'être souffrant. Tu meferais bien plaisir en
                  m'envoyant sa lettre car
                  j'aiété si content de le connaître."
03804_XVIII_123-637cf4a82f341-667131604cfb2.xml;cp03804;Marcel Proust;"[le lundi 16 juin
                  1919]";19190616;Robert Flers, de;[];"8bis rue Laurent Pichat

Mon cher Robert

Si tu ne me trouves pas trop« avant-guerre » (je ne le
               suis nullement !) en te parlant livres, jeviens te demander, au sujet de 
                  3
                  trois
               
               volumes de moi qui paraîtront àla fin de la semaine aux 
                  Editions
                  Éditions
                de la
               Nouvelle Revue française
               . Calmette,sans préjudice de ce que pouvait écriresur mes
               livres le critique littéraire du Figaro
                  
               , avaitl'habitude, avant cette critique, et dèsl'apparition du livre,
               de mettre en tête dujournal un long article. C'est ainsi que
               Lucien Daudet fit paraître en tête du
               Figaro
                un article de 
                  3
                  trois
                colonnes sur Du

Côté de chez Swann
               
               , ce qui n'empêcha pas Chevassu d'enparler
                  ensuite. Il me semble quecette gentillesse m'est d'autant plusdue
               cette fois, que le Figaro
               
               après avoir, grâce à toi, annoncéun feuilleton de moi, a refusé,à
               cause de la cherté de papier, dele publier (sans le connaître d'ailleurs),malgré les
               démarches de Bernstein.Je crois donc que ce
               sera une compensation toute naturelle que le Figaro
                nemanque de faire cette fois-ci pourmoi ce qu'il faisait
               autrefois. Lesvolumes qui paraissent cette semainesont d'une part la suite
               de Swann
               , quiporte le titre de : « 
                  A l'Ombre des

jeunes filles en fleurs
                  
                » et qui est le secondvolume de A la Recherche
                  du Temps Perdu
               
               dont Du Côté de chez Swann
                était le 
                  1er
                  premier
               . Enmême temps paraissent un volume de « 
                  Pastiches et Mélanges
                  
                », et une réimpression de « DuCôté de chez Swann
               
               
                  .
                   » .
                Je n'ose pas espérer quetu interrompes ta magnifique série
               d'étudessur la Russie ; la Roumanie, pour parlertoi-même de mes
               livres. Parmi les écrivainsqui je crois le feraient volontiers je pense très
               auhasard (celui-là   en ne lui
               disant pasque je l'ai désigné) à Louis de
                  Robert, à
               Edmond Jaloux, à Francis
                  de Miomandre. C'est un

article qu'Edmond Rostand voulait faire, que
                  AndréGide ferait admirablement, et
               certainement avecplaisir. Je pense que Léon
                  Blum le ferait aussivolontiers. S'il te semble impossible en ce
               moment demettre en tête d'un journal un article sur des livres,je me
               résignerais à « l'Instantané ». Je
               croisque peu de personnes le feraient aussi bien que
               Robert Dreyfus qui me connaît si bien.
               Pardonnemoi les répétitions, le désordre de cette lettre. Mon étatde santé
               aggravé depuis 
                  q.q.
                  quelque
                temps est devenu déplorabledepuis que, la maison que j'habitais ayant
               ététransformée en banque, j'ai dû déménager. J'ai louéprovisoirement du
               moins à Madame Réjane
                et le voisinagedu Bois ajoute mes crises d'asthme de foin à
               des souffrances plus

sérieuses, mais qui y trouvent uneraison de recrudescence. Je n'ai ditcette
               nouvelle adresse à personne pourqu'on ne vienne pas troubler le peude repos
               — à peu près nul — que j'ai. C'est te dire que je me fie à tadiscrétion si on te demande où j'habite.

Crois mon cher Robert àma bien profonde amitié admirative"
03789_XVIII_108-639c76166f8a9-66713160468ef.xml;cp03789;Marcel Proust;;19190528;Jacques Porel;['prix Goncourt'];"Cher ami

L’électricien envoyé par la
                        maisonChassagne, contremaître que
                    jesuppose très au courant (sans
                    calembourélectrique) a travaillé aujourd’hui sousla surveillance d’Odilon de 9 
                  h
                  heures
                dumatin à 7 
                  h.
                  heures
                du
                        soir et nonseulement
                    il n’a pas achevé maisil lui faut encore toute la
                    journéede demain, même en
                    remettant à
               
                  q. q.
                  quelques
                jours plus tard la pose de
                    mes« tableaux électriques » si
                    nécessaires.Mais elle demanderait plusieurs jours.
                    J’

ai conclu de tout
                    cela que lasurveillance d’Odilon, hommeparfait à tous égards, et
                    honnêteet dévoué comme on n’en voit quedans
                    les romans, avait 
                  peut’être
                  peut-être
                l’inconvénient de
                        conversations d’
                  après
                        guerre
                  après-guerre
               , et retardait.Dans ces conditions
                  
                  ,
                je crois quesi la jeune femme de
                    chambredont vous m’avez parlé peutsurveiller
                        demain (aujourd’hui
               
               jeudi) (je lui donnerai 
                  50
                  cinquante
                
                  fr
                  francs
                pourcette
                    surveillance) cela vaudrait

mieux. Si par
                    hasard elle ne pouvait pas, vous n’avez qu’àenvoyer un mot à
                        M. Odilon Albaret 102 
                     bd
                     
                     boulevard
                  
                  Haussmann, en
                    lui disant de venir surveiller. S’il nereçoit pas de mot, je
                    l’empêcherai d’aller retarder,et je l’enverrai seulement vers
                    la fin de la journée,porter des tableaux (non électriques
                    ceux-là) et 
                  q.
                        q.
                  quelques
               
               affaires du 
                  
                     blennorhagique
                     blennorragique
                   guéri. J’ai tant de fièvre
                    cesoir que je ne suis pas certain de pouvoir venir
                        coucher
               
                  
                     Samedi
                     samedi
                  
                        soir
               . Je l’espère pourtant
                    mais la violence de monmalaise m’empêche 
                   
                  de
                continuer à écrire et de vous dire matendre
                        reconnaissance
                   
                  .

Marcel
                    Proust"
